[2023-01-12 16:51:39,917] 	INFO 	28 	training.py 	get_pipeline_config() 	Pipeline configuration: PipelineConfig(pipeline_name='insurance-premium', artifact_dir='/Users/nikeshkaza/data_science/POC/insurance_premium/insurance_artifact')
[2023-01-12 16:51:39,918] 	INFO 	65 	training.py 	get_data_ingestion_config() 	Data ingestion config: DataIngestionConfig(data_ingestion_dir='/Users/nikeshkaza/data_science/POC/insurance_premium/insurance_artifact/data_ingestion/20230112_165136', download_dir='/Users/nikeshkaza/data_science/POC/insurance_premium/insurance_artifact/data_ingestion/20230112_165136/downloaded_files', file_name='insurance_premium', feature_store_dir='/Users/nikeshkaza/data_science/POC/insurance_premium/insurance_artifact/data_ingestion/20230112_165136/feature_store', failed_dir='/Users/nikeshkaza/data_science/POC/insurance_premium/insurance_artifact/data_ingestion/20230112_165136/failed_downloaded_files', datasource_url='mongodb+srv://nikeshkaza:OWUCXgQaZkCnE4ht@cluster0.fckbdxk.mongodb.net/?retryWrites=true&w=majority')
[2023-01-12 16:51:39,918] 	INFO 	39 	data_ingestion.py 	__init__() 	>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>Starting data ingestion.<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<
[2023-01-12 16:51:39,918] 	INFO 	110 	data_ingestion.py 	initiate_data_ingestion() 	Started downloading json file
[2023-01-12 16:51:39,918] 	INFO 	53 	data_ingestion.py 	export_data_into_feature_store() 	Exporting data from mongodb to feature store
[2023-01-12 16:51:40,846] 	INFO 	116 	data_ingestion.py 	initiate_data_ingestion() 	Converting and combining downloaded json into parquet file
[2023-01-12 16:51:40,847] 	INFO 	89 	data_ingestion.py 	convert_files_to_parquet() 	Parquet file will be created at: /Users/nikeshkaza/data_science/POC/insurance_premium/insurance_artifact/data_ingestion/20230112_165136/feature_store/insurance_premium
[2023-01-12 16:51:43,701] 	INFO 	128 	data_ingestion.py 	initiate_data_ingestion() 	Data ingestion artifact: DataIngestionArtifact(feature_store_file_path='/Users/nikeshkaza/data_science/POC/insurance_premium/insurance_artifact/data_ingestion/20230112_165136/feature_store/insurance_premium', download_dir='/Users/nikeshkaza/data_science/POC/insurance_premium/insurance_artifact/data_ingestion/20230112_165136/downloaded_files')
[2023-01-12 16:51:43,701] 	INFO 	85 	training.py 	get_data_validation_config() 	Data preprocessing config: DataValidationConfig(accepted_data_dir='/Users/nikeshkaza/data_science/POC/insurance_premium/insurance_artifact/data_validation/20230112_165136/accepted_data', rejected_data_dir='/Users/nikeshkaza/data_science/POC/insurance_premium/insurance_artifact/data_validation/20230112_165136/rejected_data', file_name='insurance_premium')
[2023-01-12 16:51:43,701] 	INFO 	151 	data_validation.py 	initiate_data_validation() 	Initiating data validation
[2023-01-12 16:51:43,816] 	INFO 	51 	data_validation.py 	read_data() 	Data frame is created using file: /Users/nikeshkaza/data_science/POC/insurance_premium/insurance_artifact/data_ingestion/20230112_165136/feature_store/insurance_premium
[2023-01-12 16:51:43,950] 	INFO 	52 	data_validation.py 	read_data() 	Number of row: 1338 and column: 7
[2023-01-12 16:51:49,975] 	INFO 	62 	data_validation.py 	get_missing_report() 	Preparing missing reports for each column
[2023-01-12 16:52:42,011] 	INFO 	72 	data_validation.py 	get_missing_report() 	Missing report prepared: {'age': MissingReport(total_row=1338, missing_row=0, missing_percentage=0.0), 'sex': MissingReport(total_row=1338, missing_row=0, missing_percentage=0.0), 'bmi': MissingReport(total_row=1338, missing_row=0, missing_percentage=0.0), 'children': MissingReport(total_row=1338, missing_row=0, missing_percentage=0.0), 'smoker': MissingReport(total_row=1338, missing_row=0, missing_percentage=0.0), 'region': MissingReport(total_row=1338, missing_row=0, missing_percentage=0.0), 'expenses': MissingReport(total_row=1338, missing_row=0, missing_percentage=0.0)}
[2023-01-12 16:53:20,859] 	INFO 	161 	data_validation.py 	initiate_data_validation() 	Saving preprocessed data.
[2023-01-12 16:53:25,768] 	INFO 	174 	data_validation.py 	initiate_data_validation() 	Data validation artifact: [DataValidationArtifact(accepted_file_path='/Users/nikeshkaza/data_science/POC/insurance_premium/insurance_artifact/data_validation/20230112_165136/accepted_data/insurance_premium', rejected_dir='/Users/nikeshkaza/data_science/POC/insurance_premium/insurance_artifact/data_validation/20230112_165136/rejected_data')]
